型号,系列,分辨率,像元(μm),像元来源,焦距(mm),焦距原始,工作距离(mm),传感器宽(mm),传感器高(mm),视野宽(mm),视野高(mm),单像素精度(mm),备注
MV-SC5020XM-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,500,5.52,4.195,230.0,174.8,0.1437,
MV-SC5020XC-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,50,5.52,4.195,23.0,17.48,0.0144,
MV-SC5020XC-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,100,5.52,4.195,46.0,34.96,0.0288,
MV-SC5020XC-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,150,5.52,4.195,69.0,52.44,0.0431,
MV-SC5020XC-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,200,5.52,4.195,92.0,69.92,0.0575,
MV-SC5020XC-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,300,5.52,4.195,138.0,104.88,0.0862,
MV-SC5020XC-12M-WBN,SC5000X AI,1600×1216,3.45,规格书,12.0,12mm,500,5.52,4.195,230.0,174.8,0.1437,
MV-SC5020XM-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,50,5.52,4.195,17.25,13.11,0.0108,
MV-SC5020XM-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,100,5.52,4.195,34.5,26.22,0.0216,
MV-SC5020XM-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,150,5.52,4.195,51.75,39.33,0.0323,
MV-SC5020XM-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,200,5.52,4.195,69.0,52.44,0.0431,
MV-SC5020XM-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,300,5.52,4.195,103.5,78.66,0.0647,
MV-SC5020XM-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,500,5.52,4.195,172.5,131.1,0.1078,
MV-SC5020XC-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,50,5.52,4.195,17.25,13.11,0.0108,
MV-SC5020XC-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,100,5.52,4.195,34.5,26.22,0.0216,
MV-SC5020XC-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,150,5.52,4.195,51.75,39.33,0.0323,
MV-SC5020XC-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,200,5.52,4.195,69.0,52.44,0.0431,
MV-SC5020XC-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,300,5.52,4.195,103.5,78.66,0.0647,
MV-SC5020XC-16M-WBN,SC5000X AI,1600×1216,3.45,规格书,16.0,16mm,500,5.52,4.195,172.5,131.1,0.1078,
MV-SC5050XM-00C-NNN,SC5000X AI,2432×2048,3.45,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5050XC-00C-NNN,SC5000X AI,2432×2048,3.45,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5050XM-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,50,8.39,7.066,52.44,44.16,0.0216,
MV-SC5050XM-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,100,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XM-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,150,8.39,7.066,157.32,132.48,0.0647,
MV-SC5050XM-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,200,8.39,7.066,209.76,176.64,0.0862,
MV-SC5050XM-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,300,8.39,7.066,314.64,264.96,0.1294,
MV-SC5050XM-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,500,8.39,7.066,524.4,441.6,0.2156,
MV-SC5050XC-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,50,8.39,7.066,52.44,44.16,0.0216,
MV-SC5050XC-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,100,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XC-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,150,8.39,7.066,157.32,132.48,0.0647,
MV-SC5050XC-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,200,8.39,7.066,209.76,176.64,0.0862,
MV-SC5050XC-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,300,8.39,7.066,314.64,264.96,0.1294,
MV-SC5050XC-08M-WBN,SC5000X AI,2432×2048,3.45,规格书,8.0,8mm,500,8.39,7.066,524.4,441.6,0.2156,
MV-SC5050XM-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,50,8.39,7.066,34.96,29.44,0.0144,
MV-SC5050XM-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,100,8.39,7.066,69.92,58.88,0.0288,
MV-SC5050XM-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,150,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XM-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,200,8.39,7.066,139.84,117.76,0.0575,
MV-SC5050XM-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,300,8.39,7.066,209.76,176.64,0.0862,
MV-SC5050XM-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,500,8.39,7.066,349.6,294.4,0.1437,
MV-SC5050XC-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,50,8.39,7.066,34.96,29.44,0.0144,
MV-SC5050XC-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,100,8.39,7.066,69.92,58.88,0.0288,
MV-SC5050XC-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,150,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XC-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,200,8.39,7.066,139.84,117.76,0.0575,
MV-SC5050XC-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,300,8.39,7.066,209.76,176.64,0.0862,
MV-SC5050XC-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,500,8.39,7.066,349.6,294.4,0.1437,
MV-SC5050XM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,50,8.39,7.066,26.22,22.08,0.0108,
MV-SC5050XM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,100,8.39,7.066,52.44,44.16,0.0216,
MV-SC5050XM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,150,8.39,7.066,78.66,66.24,0.0323,
MV-SC5050XM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,200,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,300,8.39,7.066,157.32,132.48,0.0647,
MV-SC5050XM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,500,8.39,7.066,262.2,220.8,0.1078,
MV-SC5050XC-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,50,8.39,7.066,26.22,22.08,0.0108,
MV-SC5050XC-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,100,8.39,7.066,52.44,44.16,0.0216,
MV-SC5050XC-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,150,8.39,7.066,78.66,66.24,0.0323,
MV-SC5050XC-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,200,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XC-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,300,8.39,7.066,157.32,132.48,0.0647,
MV-SC5050XC-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,500,8.39,7.066,262.2,220.8,0.1078,
MV-SC5050XM-PPB-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,50,8.39,7.066,34.96,29.44,0.0144,
MV-SC5050XM-PPB-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,100,8.39,7.066,69.92,58.88,0.0288,
MV-SC5050XM-PPB-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,150,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XM-PPB-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,200,8.39,7.066,139.84,117.76,0.0575,
MV-SC5050XM-PPB-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,300,8.39,7.066,209.76,176.64,0.0862,
MV-SC5050XM-PPB-12M-WBN,SC5000X AI,2432×2048,3.45,规格书,12.0,12mm,500,8.39,7.066,349.6,294.4,0.1437,
MV-SC5050XM-PPM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,50,8.39,7.066,26.22,22.08,0.0108,
MV-SC5050XM-PPM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,100,8.39,7.066,52.44,44.16,0.0216,
MV-SC5050XM-PPM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,150,8.39,7.066,78.66,66.24,0.0323,
MV-SC5050XM-PPM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,200,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XM-PPM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,300,8.39,7.066,157.32,132.48,0.0647,
MV-SC5050XM-PPM-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,500,8.39,7.066,262.2,220.8,0.1078,
MV-SC5050XM-PPB-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,50,8.39,7.066,26.22,22.08,0.0108,
MV-SC5050XM-PPB-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,100,8.39,7.066,52.44,44.16,0.0216,
MV-SC5050XM-PPB-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,150,8.39,7.066,78.66,66.24,0.0323,
MV-SC5050XM-PPB-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,200,8.39,7.066,104.88,88.32,0.0431,
MV-SC5050XM-PPB-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,300,8.39,7.066,157.32,132.48,0.0647,
MV-SC5050XM-PPB-16M-WBN,SC5000X AI,2432×2048,3.45,规格书,16.0,16mm,500,8.39,7.066,262.2,220.8,0.1078,
MV-SC5060XM-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,50,6.4,3.84,40.0,24.0,0.0125,
MV-SC5060XM-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,100,6.4,3.84,80.0,48.0,0.025,
MV-SC5060XM-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,150,6.4,3.84,120.0,72.0,0.0375,
MV-SC5060XM-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,200,6.4,3.84,160.0,96.0,0.05,
MV-SC5060XM-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,300,6.4,3.84,240.0,144.0,0.075,
MV-SC5060XM-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,500,6.4,3.84,400.0,240.0,0.125,
MV-SC5060XC-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,50,6.4,3.84,40.0,24.0,0.0125,
MV-SC5060XC-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,100,6.4,3.84,80.0,48.0,0.025,
MV-SC5060XC-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,150,6.4,3.84,120.0,72.0,0.0375,
MV-SC5060XC-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,200,6.4,3.84,160.0,96.0,0.05,
MV-SC5060XC-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,300,6.4,3.84,240.0,144.0,0.075,
MV-SC5060XC-08M-WBN,SC5000X AI,3200×1920,2.0,规格书,8.0,8mm,500,6.4,3.84,400.0,240.0,0.125,
MV-SC5060XM-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,50,6.4,3.84,26.67,16.0,0.0083,
MV-SC5060XM-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,100,6.4,3.84,53.33,32.0,0.0167,
MV-SC5060XM-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,150,6.4,3.84,80.0,48.0,0.025,
MV-SC5060XM-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,200,6.4,3.84,106.67,64.0,0.0333,
MV-SC5060XM-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,300,6.4,3.84,160.0,96.0,0.05,
MV-SC5060XM-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,500,6.4,3.84,266.67,160.0,0.0833,
MV-SC5060XC-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,50,6.4,3.84,26.67,16.0,0.0083,
MV-SC5060XC-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,100,6.4,3.84,53.33,32.0,0.0167,
MV-SC5060XC-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,150,6.4,3.84,80.0,48.0,0.025,
MV-SC5060XC-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,200,6.4,3.84,106.67,64.0,0.0333,
MV-SC5060XC-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,300,6.4,3.84,160.0,96.0,0.05,
MV-SC5060XC-12M-WBN,SC5000X AI,3200×1920,2.0,规格书,12.0,12mm,500,6.4,3.84,266.67,160.0,0.0833,
MV-SC5060XM-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,50,6.4,3.84,20.0,12.0,0.0063,
MV-SC5060XM-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,100,6.4,3.84,40.0,24.0,0.0125,
MV-SC5060XM-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,150,6.4,3.84,60.0,36.0,0.0187,
MV-SC5060XM-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,200,6.4,3.84,80.0,48.0,0.025,
MV-SC5060XM-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,300,6.4,3.84,120.0,72.0,0.0375,
MV-SC5060XM-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,500,6.4,3.84,200.0,120.0,0.0625,
MV-SC5060XC-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,50,6.4,3.84,20.0,12.0,0.0063,
MV-SC5060XC-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,100,6.4,3.84,40.0,24.0,0.0125,
MV-SC5060XC-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,150,6.4,3.84,60.0,36.0,0.0187,
MV-SC5060XC-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,200,6.4,3.84,80.0,48.0,0.025,
MV-SC5060XC-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,300,6.4,3.84,120.0,72.0,0.0375,
MV-SC5060XC-16M-WBN,SC5000X AI,3200×1920,2.0,规格书,16.0,16mm,500,6.4,3.84,200.0,120.0,0.0625,
MV-SC5060XM-00C-NNN,SC5000X AI,3200×1920,2.0,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5060XC-00C-NNN,SC5000X AI,3200×1920,2.0,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5100XM-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,50,8.192,5.632,51.2,35.2,0.0125,
MV-SC5100XM-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,100,8.192,5.632,102.4,70.4,0.025,
MV-SC5100XM-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,150,8.192,5.632,153.6,105.6,0.0375,
MV-SC5100XM-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,200,8.192,5.632,204.8,140.8,0.05,
MV-SC5100XM-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,300,8.192,5.632,307.2,211.2,0.075,
MV-SC5100XM-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,500,8.192,5.632,512.0,352.0,0.125,
MV-SC5100XC-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,50,8.192,5.632,51.2,35.2,0.0125,
MV-SC5100XC-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,100,8.192,5.632,102.4,70.4,0.025,
MV-SC5100XC-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,150,8.192,5.632,153.6,105.6,0.0375,
MV-SC5100XC-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,200,8.192,5.632,204.8,140.8,0.05,
MV-SC5100XC-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,300,8.192,5.632,307.2,211.2,0.075,
MV-SC5100XC-08M-WBN,SC5000X AI,4096×2816,2.0,规格书,8.0,8mm,500,8.192,5.632,512.0,352.0,0.125,
MV-SC5100XM-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,50,8.192,5.632,34.13,23.47,0.0083,
MV-SC5100XM-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,100,8.192,5.632,68.27,46.93,0.0167,
MV-SC5100XM-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,150,8.192,5.632,102.4,70.4,0.025,
MV-SC5100XM-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,200,8.192,5.632,136.53,93.87,0.0333,
MV-SC5100XM-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,300,8.192,5.632,204.8,140.8,0.05,
MV-SC5100XM-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,500,8.192,5.632,341.33,234.67,0.0833,
MV-SC5100XC-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,50,8.192,5.632,34.13,23.47,0.0083,
MV-SC5100XC-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,100,8.192,5.632,68.27,46.93,0.0167,
MV-SC5100XC-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,150,8.192,5.632,102.4,70.4,0.025,
MV-SC5100XC-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,200,8.192,5.632,136.53,93.87,0.0333,
MV-SC5100XC-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,300,8.192,5.632,204.8,140.8,0.05,
MV-SC5100XC-12M-WBN,SC5000X AI,4096×2816,2.0,规格书,12.0,12mm,500,8.192,5.632,341.33,234.67,0.0833,
MV-SC5100XM-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,50,8.192,5.632,25.6,17.6,0.0063,
MV-SC5100XM-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,100,8.192,5.632,51.2,35.2,0.0125,
MV-SC5100XM-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,150,8.192,5.632,76.8,52.8,0.0187,
MV-SC5100XM-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,200,8.192,5.632,102.4,70.4,0.025,
MV-SC5100XM-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,300,8.192,5.632,153.6,105.6,0.0375,
MV-SC5100XM-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,500,8.192,5.632,256.0,176.0,0.0625,
MV-SC5100XC-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,50,8.192,5.632,25.6,17.6,0.0063,
MV-SC5100XC-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,100,8.192,5.632,51.2,35.2,0.0125,
MV-SC5100XC-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,150,8.192,5.632,76.8,52.8,0.0187,
MV-SC5100XC-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,200,8.192,5.632,102.4,70.4,0.025,
MV-SC5100XC-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,300,8.192,5.632,153.6,105.6,0.0375,
MV-SC5100XC-16M-WBN,SC5000X AI,4096×2816,2.0,规格书,16.0,16mm,500,8.192,5.632,256.0,176.0,0.0625,
MV-SC5100XM-00C-NNN,SC5000X AI,4096×2816,2.0,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5100XC-00C-NNN,SC5000X AI,4096×2816,2.0,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5120XM-00C-NNN,SC5000X AI,4096×2944,2.0,推测*,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5120XC-00C-NNN,SC5000X AI,4096×2944,2.0,推测*,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC5520XC-00C-MAX,SC5000X AI,4096×2944,2.0,推测*,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC6016M-00C-NNN/V2,SC6000旗舰,1408×1024,3.45,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC6016C-00C-NNN/V2,SC6000旗舰,1408×1024,3.45,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC6016M-12M-XBN,SC6000旗舰,1408×1024,3.45,规格书,12.0,12mm,50,4.858,3.533,20.24,14.72,0.0144,
MV-SC6016M-12M-XBN,SC6000旗舰,1408×1024,3.45,规格书,12.0,12mm,100,4.858,3.533,40.48,29.44,0.0288,
MV-SC6016M-12M-XBN,SC6000旗舰,1408×1024,3.45,规格书,12.0,12mm,150,4.858,3.533,60.72,44.16,0.0431,
MV-SC6016M-12M-XBN,SC6000旗舰,1408×1024,3.45,规格书,12.0,12mm,200,4.858,3.533,80.96,58.88,0.0575,
MV-SC6016M-12M-XBN,SC6000旗舰,1408×1024,3.45,规格书,12.0,12mm,300,4.858,3.533,121.44,88.32,0.0863,
MV-SC6016M-12M-XBN,SC6000旗舰,1408×1024,3.45,规格书,12.0,12mm,500,4.858,3.533,202.4,147.2,0.1438,
MV-SC6016C-16M-XBN,SC6000旗舰,1408×1024,3.45,规格书,16.0,16mm,50,4.858,3.533,15.18,11.04,0.0108,
MV-SC6016C-16M-XBN,SC6000旗舰,1408×1024,3.45,规格书,16.0,16mm,100,4.858,3.533,30.36,22.08,0.0216,
MV-SC6016C-16M-XBN,SC6000旗舰,1408×1024,3.45,规格书,16.0,16mm,150,4.858,3.533,45.54,33.12,0.0323,
MV-SC6016C-16M-XBN,SC6000旗舰,1408×1024,3.45,规格书,16.0,16mm,200,4.858,3.533,60.72,44.16,0.0431,
MV-SC6016C-16M-XBN,SC6000旗舰,1408×1024,3.45,规格书,16.0,16mm,300,4.858,3.533,91.08,66.24,0.0647,
MV-SC6016C-16M-XBN,SC6000旗舰,1408×1024,3.45,规格书,16.0,16mm,500,4.858,3.533,151.8,110.4,0.1078,
MV-SC6050M-00C-NNN/V2,SC6000旗舰,2432×2048,3.45,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC6050C-00C-NNN/V2,SC6000旗舰,2432×2048,3.45,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC6050M-08M-XBN,SC6000旗舰,2432×2048,3.45,规格书,8.0,8mm,50,8.39,7.066,52.44,44.16,0.0216,
MV-SC6050M-08M-XBN,SC6000旗舰,2432×2048,3.45,规格书,8.0,8mm,100,8.39,7.066,104.88,88.32,0.0431,
MV-SC6050M-08M-XBN,SC6000旗舰,2432×2048,3.45,规格书,8.0,8mm,150,8.39,7.066,157.32,132.48,0.0647,
MV-SC6050M-08M-XBN,SC6000旗舰,2432×2048,3.45,规格书,8.0,8mm,200,8.39,7.066,209.76,176.64,0.0862,
MV-SC6050M-08M-XBN,SC6000旗舰,2432×2048,3.45,规格书,8.0,8mm,300,8.39,7.066,314.64,264.96,0.1294,
MV-SC6050M-08M-XBN,SC6000旗舰,2432×2048,3.45,规格书,8.0,8mm,500,8.39,7.066,524.4,441.6,0.2156,
MV-SC6050C-16M-XBN,SC6000旗舰,2432×2048,3.45,规格书,16.0,16mm,50,8.39,7.066,26.22,22.08,0.0108,
MV-SC6050C-16M-XBN,SC6000旗舰,2432×2048,3.45,规格书,16.0,16mm,100,8.39,7.066,52.44,44.16,0.0216,
MV-SC6050C-16M-XBN,SC6000旗舰,2432×2048,3.45,规格书,16.0,16mm,150,8.39,7.066,78.66,66.24,0.0323,
MV-SC6050C-16M-XBN,SC6000旗舰,2432×2048,3.45,规格书,16.0,16mm,200,8.39,7.066,104.88,88.32,0.0431,
MV-SC6050C-16M-XBN,SC6000旗舰,2432×2048,3.45,规格书,16.0,16mm,300,8.39,7.066,157.32,132.48,0.0647,
MV-SC6050C-16M-XBN,SC6000旗舰,2432×2048,3.45,规格书,16.0,16mm,500,8.39,7.066,262.2,220.8,0.1078,
MV-SC6250M-00C-NNN,SC6000旗舰,5120×5120,2.5,规格书,-,C口(无镜头),-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
MV-SC6500-AI-WID,SC6500半导体,1408×1024,3.45,规格书,12.0,12mm,50,4.858,3.533,20.24,14.72,0.0144,
MV-SC6500-AI-WID,SC6500半导体,1408×1024,3.45,规格书,12.0,12mm,100,4.858,3.533,40.48,29.44,0.0288,
MV-SC6500-AI-WID,SC6500半导体,1408×1024,3.45,规格书,12.0,12mm,150,4.858,3.533,60.72,44.16,0.0431,
MV-SC6500-AI-WID,SC6500半导体,1408×1024,3.45,规格书,12.0,12mm,200,4.858,3.533,80.96,58.88,0.0575,
MV-SC6500-AI-WID,SC6500半导体,1408×1024,3.45,规格书,12.0,12mm,300,4.858,3.533,121.44,88.32,0.0863,
MV-SC6500-AI-WID,SC6500半导体,1408×1024,3.45,规格书,12.0,12mm,500,4.858,3.533,202.4,147.2,0.1438,
MV-SC6500P-AI-WID-RBN,SC6500半导体,1408×576,3.45,规格书,-,M12,-,-,-,-,-,-,C口/无固定焦距镜头，需自配镜头
